"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.92625,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-10",99.09824,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-11",99.26295,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-12",99.44883,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2017-12",102.1919,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-01",102.2314,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-02",102.2068,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-03",102.1403,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-04",102.0619,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-05",101.9812,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-06",101.8929,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-07",101.797,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-08",101.7141,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-09",101.6717,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-10",101.6831,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-11",101.7349,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2018-12",101.8035,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-01",101.8776,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-02",101.935,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-03",101.958,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-04",101.9324,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-05",101.8678,
